profile,actor,DPS,int,haste,crit,mastery,vers,
single_target,ToE_Butc_ST_MB_WI,13640,1.00,0.95,0.72,0.59,0.80,
single_target,ToE_Butc_ST_MB_Chak,13216,1.00,0.80,0.72,0.65,0.81,
single_target,AP_Butc_ST_MB_BoP,13217,1.00,0.90,0.71,0.58,0.80,
single_target,AP_Butc_ST_TotS_Chak,13466,1.00,0.77,0.69,0.64,0.81,
single_target,ViV_Butc_ST_FS_WI,14655,1.00,0.91,0.69,0.62,0.80,
single_target,ViV_Butc_BS_TotS_WI,15724,1.00,0.91,0.69,0.60,0.80,
single_target,ViV_GT_BS_FS_Chak,12271,1.00,0.74,0.72,0.61,0.79,
single_target,ViV_GT_AMoC_TotS_Chak,11810,1.00,0.79,0.73,0.73,0.80,
single_target,AP_Butc_BS_TotS_BoP,14994,1.00,0.75,0.68,0.56,0.80,
single_target,ToE_GT_AMoC_FS_BoP,11590,1.00,0.86,0.72,0.64,0.80,
single_target,ToE_Butc_AMoC_FS_BoP,14069,1.00,0.82,0.68,0.66,0.80,
single_target,AP_Butc_BS_MB_Chak,14659,1.00,0.78,0.71,0.57,0.79,
single_target,ToE_Butc_BS_FS_BoP,15267,1.00,0.82,0.68,0.56,0.80,
single_target,AP_HB_BS_MB_Chak,14525,1.00,0.75,0.72,0.58,0.79,
single_target,ToE_HB_AMoC_TotS_BoP,13785,1.00,0.78,0.66,0.72,0.81,
single_target,ViV_HB_AMoC_FS_Chak,14926,1.00,0.70,0.68,0.76,0.80,
single_target,ViV_Butc_ST_TotS_WI,14517,1.00,0.95,0.69,0.65,0.81,
single_target,ViV_HB_ST_FS_BoP,14738,1.00,0.74,0.67,0.69,0.80,
single_target,ToE_Butc_ST_FS_WI,14397,1.00,0.88,0.69,0.60,0.81,
single_target,ToE_Butc_BS_TotS_BoP,14849,1.00,0.77,0.68,0.59,0.80,
single_target,Base,10321,1.00,0.84,0.68,0.63,0.80,
single_target,ToE_Butc_AMoC_TotS_BoP,13490,1.00,0.79,0.68,0.69,0.81,
single_target,AP_GT_ST_TotS_Chak,11692,1.00,0.89,0.72,0.61,0.80,
single_target,ToE_Butc_AMoC_FS_WI,14467,1.00,0.88,0.69,0.65,0.81,
single_target,ViV_GT_BS_FS_WI,12226,1.00,0.80,0.72,0.60,0.79,
single_target,ViV_Butc_AMoC_FS_Chak,14359,1.00,0.80,0.69,0.70,0.81,
single_target,AP_GT_BS_MB_BoP,12292,1.00,0.82,0.72,0.58,0.79,
single_target,ViV_HB_AMoC_TotS_Chak,14810,1.00,0.74,0.68,0.80,0.81,
single_target,ToE_Butc_AMoC_MB_Chak,13310,1.00,0.76,0.71,0.70,0.80,
single_target,ToE_GT_ST_MB_BoP,11723,1.00,0.89,0.74,0.63,0.81,
single_target,AP_GT_ST_MB_WI,11851,1.00,0.90,0.73,0.60,0.80,
single_target,ToE_GT_AMoC_MB_BoP,11683,1.00,0.84,0.72,0.68,0.80,
single_target,AP_GT_BS_TotS_BoP,12179,1.00,0.86,0.71,0.57,0.79,
single_target,AP_HB_ST_TotS_Chak,14294,1.00,0.69,0.67,0.67,0.80,
single_target,AP_HB_AMoC_MB_BoP,13342,1.00,0.77,0.72,0.66,0.80,
single_target,AP_Butc_ST_FS_BoP,14202,1.00,0.85,0.67,0.58,0.80,
single_target,ViV_Butc_ST_TotS_Chak,12767,1.00,0.81,0.68,0.66,0.82,
single_target,AP_HB_BS_TotS_Chak,15502,1.00,0.78,0.67,0.63,0.79,
single_target,ViV_HB_AMoC_MB_Chak,14430,1.00,0.76,0.69,0.78,0.81,
single_target,ToE_GT_ST_FS_WI,11502,1.00,0.76,0.72,0.58,0.80,
single_target,AP_GT_ST_FS_Chak,11697,1.00,0.80,0.72,0.56,0.79,
single_target,AP_GT_BS_TotS_WI,12276,1.00,0.82,0.71,0.58,0.79,
single_target,AP_GT_BS_FS_BoP,12152,1.00,0.81,0.71,0.53,0.78,
single_target,ToE_Butc_BS_TotS_Chak,14393,1.00,0.73,0.69,0.62,0.80,
single_target,ViV_Butc_ST_FS_BoP,14282,1.00,0.88,0.69,0.64,0.81,
single_target,ViV_GT_AMoC_MB_BoP,12029,1.00,0.84,0.75,0.73,0.81,
single_target,AP_GT_AMoC_FS_BoP,11728,1.00,0.89,0.71,0.60,0.79,
single_target,AP_HB_ST_FS_BoP,13982,1.00,0.72,0.66,0.61,0.80,
single_target,AP_GT_AMoC_MB_WI,11864,1.00,0.85,0.73,0.65,0.80,
single_target,AP_HB_ST_MB_BoP,13351,1.00,0.78,0.71,0.61,0.80,
single_target,ToE_Butc_ST_TotS_WI,14271,1.00,0.91,0.69,0.63,0.80,
single_target,AP_GT_ST_MB_Chak,11580,1.00,0.86,0.73,0.60,0.80,
single_target,ViV_HB_BS_MB_WI,15779,1.00,0.86,0.69,0.66,0.80,
single_target,AP_HB_BS_FS_BoP,15286,1.00,0.85,0.66,0.55,0.79,
single_target,ToE_HB_AMoC_MB_BoP,13131,1.00,0.78,0.72,0.69,0.80,
single_target,ViV_GT_AMoC_TotS_BoP,11883,1.00,0.84,0.72,0.72,0.80,
single_target,ToE_Butc_BS_FS_Chak,15584,1.00,0.77,0.69,0.60,0.80,
single_target,ToE_GT_BS_MB_WI,12104,1.00,0.88,0.73,0.61,0.79,
single_target,ToE_HB_ST_MB_BoP,13191,1.00,0.74,0.72,0.64,0.81,
single_target,AP_GT_ST_FS_WI,11677,1.00,0.82,0.71,0.55,0.79,
single_target,AP_Butc_AMoC_FS_Chak,14630,1.00,0.78,0.69,0.67,0.80,
single_target,AP_HB_BS_FS_Chak,15493,1.00,0.71,0.67,0.59,0.79,
single_target,ToE_Butc_BS_FS_WI,15640,1.00,0.85,0.69,0.55,0.79,
single_target,ToE_HB_AMoC_TotS_WI,13811,1.00,0.71,0.66,0.70,0.80,
single_target,AP_GT_AMoC_FS_Chak,11736,1.00,0.76,0.72,0.62,0.79,
single_target,ToE_GT_BS_TotS_WI,11943,1.00,0.82,0.72,0.60,0.80,
single_target,AP_HB_ST_TotS_WI,14102,1.00,0.79,0.66,0.64,0.80,
single_target,AP_HB_AMoC_FS_Chak,14238,1.00,0.66,0.67,0.69,0.80,
single_target,ToE_GT_ST_TotS_BoP,11532,1.00,0.85,0.73,0.62,0.81,
single_target,ViV_Butc_BS_TotS_Chak,13662,1.00,0.75,0.68,0.61,0.80,
single_target,ViV_GT_AMoC_TotS_WI,11873,1.00,0.82,0.73,0.71,0.80,
single_target,ToE_HB_BS_FS_Chak,15169,1.00,0.73,0.68,0.62,0.80,
single_target,ViV_GT_AMoC_FS_WI,11867,1.00,0.75,0.72,0.67,0.80,
single_target,ViV_GT_BS_TotS_Chak,12187,1.00,0.80,0.72,0.65,0.80,
single_target,ToE_HB_ST_FS_Chak,14017,1.00,0.64,0.67,0.67,0.80,
single_target,ViV_GT_BS_TotS_BoP,12318,1.00,0.86,0.73,0.64,0.80,
single_target,ViV_GT_ST_FS_Chak,11883,1.00,0.78,0.73,0.63,0.80,
single_target,ViV_Butc_AMoC_MB_BoP,13346,1.00,0.88,0.70,0.70,0.81,
single_target,ToE_GT_ST_FS_BoP,11534,1.00,0.83,0.72,0.56,0.80,
single_target,ToE_HB_AMoC_FS_BoP,13819,1.00,0.70,0.67,0.68,0.80,
single_target,ToE_Butc_ST_FS_BoP,14013,1.00,0.85,0.68,0.61,0.81,
single_target,AP_HB_ST_FS_WI,13970,1.00,0.75,0.66,0.60,0.79,
single_target,ToE_GT_AMoC_TotS_BoP,11542,1.00,0.86,0.72,0.67,0.80,
single_target,AP_Butc_BS_TotS_Chak,14526,1.00,0.69,0.68,0.59,0.80,
single_target,ToE_HB_ST_MB_Chak,13075,1.00,0.74,0.73,0.67,0.81,
single_target,AP_GT_BS_MB_Chak,11970,1.00,0.77,0.72,0.59,0.79,
single_target,ViV_GT_ST_TotS_WI,11844,1.00,0.83,0.73,0.66,0.81,
single_target,ToE_GT_AMoC_TotS_WI,11590,1.00,0.78,0.73,0.68,0.80,
single_target,ViV_GT_AMoC_FS_Chak,14323,1.00,0.73,0.69,0.66,0.81,
single_target,ToE_HB_ST_FS_BoP,13797,1.00,0.70,0.66,0.64,0.80,
single_target,AP_HB_BS_TotS_WI,15415,1.00,0.86,0.67,0.58,0.79,
single_target,ToE_HB_ST_TotS_WI,13791,1.00,0.68,0.67,0.66,0.81,
single_target,AP_HB_AMoC_MB_WI,13457,1.00,0.73,0.71,0.66,0.80,
single_target,AP_GT_AMoC_TotS_WI,11918,1.00,0.81,0.72,0.65,0.79,
single_target,AP_HB_AMoC_MB_Chak,13258,1.00,0.77,0.72,0.68,0.80,
single_target,ViV_Butc_BS_MB_WI,15322,1.00,0.93,0.71,0.58,0.80,
single_target,AP_HB_BS_TotS_BoP,15346,1.00,0.93,0.67,0.60,0.79,
single_target,ToE_GT_BS_FS_WI,11916,1.00,0.77,0.72,0.55,0.79,
single_target,ViV_HB_ST_FS_Chak,14968,1.00,0.66,0.68,0.72,0.81,
single_target,AP_Butc_ST_TotS_WI,14594,1.00,0.94,0.69,0.62,0.80,
single_target,ViV_GT_AMoC_MB_Chak,11699,1.00,0.79,0.73,0.73,0.80,
single_target,ViV_HB_AMoC_FS_BoP,14759,1.00,0.77,0.67,0.74,0.80,
single_target,ViV_GT_AMoC_MB_WI,11917,1.00,0.84,0.73,0.71,0.81,
single_target,AP_Butc_ST_TotS_BoP,13804,1.00,0.79,0.68,0.62,0.81,
single_target,ViV_GT_ST_TotS_Chak,11812,1.00,0.84,0.73,0.67,0.81,
single_target,ToE_HB_BS_MB_Chak,14247,1.00,0.78,0.73,0.61,0.79,
single_target,ToE_GT_BS_TotS_BoP,11958,1.00,0.84,0.71,0.60,0.79,
single_target,ViV_Butc_BS_MB_BoP,14701,1.00,0.88,0.70,0.58,0.79,
single_target,ToE_Butc_ST_FS_Chak,14401,1.00,0.78,0.69,0.64,0.81,
single_target,ViV_HB_BS_TotS_WI,15888,1.00,0.84,0.67,0.66,0.80,
single_target,AP_GT_AMoC_FS_WI,11805,1.00,0.78,0.72,0.60,0.79,
single_target,AP_Butc_BS_MB_BoP,14653,1.00,0.84,0.71,0.53,0.79,
single_target,ToE_Butc_BS_TotS_WI,15478,1.00,0.88,0.69,0.59,0.80,
single_target,ToE_GT_AMoC_TotS_Chak,11469,1.00,0.77,0.72,0.69,0.80,
single_target,AP_Butc_AMoC_FS_BoP,14295,1.00,0.77,0.68,0.63,0.80,
single_target,ViV_HB_AMoC_TotS_WI,14687,1.00,0.79,0.67,0.76,0.81,
single_target,ToE_GT_ST_MB_WI,11672,1.00,0.87,0.73,0.63,0.80,
single_target,ToE_Butc_AMoC_MB_WI,13705,1.00,0.89,0.72,0.65,0.81,
single_target,ToE_GT_BS_FS_Chak,11921,1.00,0.72,0.72,0.58,0.79,
single_target,ToE_GT_BS_FS_BoP,11986,1.00,0.78,0.72,0.56,0.79,
single_target,AP_Butc_AMoC_MB_Chak,13371,1.00,0.80,0.70,0.66,0.79,
single_target,ViV_GT_ST_MB_BoP,12105,1.00,0.91,0.74,0.67,0.80,
single_target,ViV_HB_AMoC_TotS_BoP,14706,1.00,0.82,0.67,0.78,0.80,
single_target,ViV_HB_ST_TotS_BoP,14730,1.00,0.80,0.68,0.73,0.81,
single_target,ToE_GT_AMoC_MB_Chak,11432,1.00,0.76,0.73,0.69,0.80,
single_target,AP_HB_AMoC_FS_BoP,14027,1.00,0.75,0.66,0.66,0.80,
single_target,ViV_Butc_AMoC_MB_Chak,13295,1.00,0.82,0.69,0.72,0.81,
single_target,ToE_HB_BS_FS_BoP,15043,1.00,0.81,0.67,0.58,0.79,
single_target,ViV_HB_BS_TotS_BoP,15992,1.00,0.88,0.68,0.67,0.79,
single_target,ViV_HB_AMoC_FS_WI,14663,1.00,0.77,0.67,0.72,0.81,
single_target,ToE_Butc_AMoC_MB_BoP,13153,1.00,0.83,0.71,0.67,0.80,
single_target,ToE_HB_BS_FS_WI,14936,1.00,0.79,0.66,0.57,0.79,
single_target,AP_Butc_AMoC_MB_BoP,13281,1.00,0.89,0.71,0.64,0.79,
single_target,AP_HB_AMoC_TotS_BoP,14101,1.00,0.77,0.66,0.70,0.80,
single_target,ToE_GT_BS_MB_BoP,12179,1.00,0.84,0.73,0.62,0.81,
single_target,ViV_HB_ST_FS_WI,14627,1.00,0.76,0.68,0.68,0.80,
single_target,ViV_Butc_AMoC_FS_WI,14703,1.00,0.90,0.69,0.67,0.80,
single_target,ToE_Butc_ST_TotS_BoP,13712,1.00,0.82,0.68,0.64,0.82,
single_target,ViV_GT_ST_MB_WI,11950,1.00,0.87,0.75,0.66,0.80,
single_target,ViV_HB_ST_MB_WI,14549,1.00,0.78,0.69,0.72,0.81,
single_target,ViV_GT_BS_MB_Chak,12135,1.00,0.79,0.74,0.66,0.80,
single_target,AP_GT_BS_FS_WI,12117,1.00,0.77,0.72,0.53,0.79,
single_target,ViV_GT_ST_TotS_BoP,11889,1.00,0.91,0.72,0.66,0.80,
single_target,ViV_HB_ST_TotS_Chak,14878,1.00,0.69,0.68,0.76,0.81,
single_target,ViV_Butc_ST_MB_Chak,13393,1.00,0.85,0.70,0.67,0.81,
single_target,AP_Butc_BS_FS_BoP,15574,1.00,0.75,0.68,0.54,0.79,
single_target,ViV_HB_ST_TotS_WI,14659,1.00,0.79,0.67,0.72,0.81,
single_target,AP_HB_ST_MB_WI,13402,1.00,0.79,0.71,0.60,0.80,
single_target,ViV_HB_BS_MB_BoP,15869,1.00,0.89,0.70,0.67,0.80,
single_target,AP_GT_AMoC_MB_Chak,11546,1.00,0.78,0.72,0.66,0.80,
single_target,ViV_Butc_BS_TotS_BoP,14769,1.00,0.85,0.67,0.60,0.80,
single_target,ViV_GT_ST_MB_Chak,11757,1.00,0.85,0.75,0.68,0.81,
single_target,ViV_Butc_AMoC_MB_WI,14015,1.00,0.97,0.71,0.67,0.81,
single_target,AP_HB_ST_FS_Chak,14280,1.00,0.61,0.67,0.64,0.80,
single_target,ToE_Butc_BS_MB_Chak,14520,1.00,0.76,0.71,0.59,0.80,
single_target,ToE_GT_AMoC_FS_Chak,11577,1.00,0.72,0.72,0.65,0.79,
single_target,ViV_Butc_ST_TotS_BoP,13649,1.00,0.93,0.68,0.67,0.82,
single_target,ViV_GT_ST_FS_WI,11826,1.00,0.79,0.72,0.61,0.79,
single_target,ViV_GT_BS_FS_BoP,12349,1.00,0.82,0.72,0.60,0.79,
single_target,AP_Butc_ST_FS_WI,14611,1.00,0.88,0.69,0.58,0.80,
single_target,ToE_GT_ST_TotS_Chak,11460,1.00,0.81,0.73,0.64,0.80,
single_target,ToE_Butc_ST_TotS_Chak,13478,1.00,0.75,0.68,0.66,0.80,
single_target,AP_GT_BS_TotS_Chak,12057,1.00,0.84,0.71,0.59,0.79,
single_target,AP_Butc_AMoC_TotS_WI,14474,1.00,0.91,0.69,0.65,0.80,
single_target,ToE_GT_BS_MB_Chak,11844,1.00,0.76,0.72,0.62,0.80,
single_target,AP_Butc_BS_FS_Chak,15922,1.00,0.72,0.69,0.57,0.79,
single_target,ViV_Butc_AMoC_TotS_Chak,12447,1.00,0.78,0.67,0.70,0.81,
single_target,ToE_GT_AMoC_FS_WI,11575,1.00,0.73,0.72,0.63,0.80,
single_target,ToE_Butc_BS_MB_BoP,14461,1.00,0.84,0.71,0.56,0.79,
single_target,ToE_HB_BS_TotS_Chak,15104,1.00,0.78,0.67,0.65,0.80,
single_target,ToE_HB_BS_MB_WI,14440,1.00,0.81,0.71,0.58,0.80,
single_target,ToE_HB_BS_TotS_WI,15012,1.00,0.81,0.67,0.61,0.80,
single_target,ViV_Butc_BS_FS_Chak,15682,1.00,0.77,0.69,0.61,0.79,
single_target,ToE_HB_ST_TotS_BoP,13809,1.00,0.72,0.66,0.67,0.81,
single_target,AP_Butc_AMoC_TotS_BoP,13543,1.00,0.76,0.68,0.67,0.80,
single_target,AP_HB_BS_MB_WI,14693,1.00,0.87,0.71,0.56,0.79,
single_target,ViV_Butc_ST_MB_BoP,13377,1.00,0.93,0.70,0.65,0.81,
single_target,AP_GT_AMoC_TotS_Chak,11716,1.00,0.81,0.72,0.65,0.79,
single_target,AP_HB_ST_TotS_BoP,14010,1.00,0.91,0.65,0.65,0.80,
single_target,ToE_HB_ST_FS_WI,13742,1.00,0.68,0.67,0.62,0.80,
single_target,ViV_HB_AMoC_MB_BoP,14522,1.00,0.81,0.69,0.77,0.79,
single_target,AP_GT_ST_TotS_WI,11846,1.00,0.84,0.72,0.59,0.79,
single_target,AP_GT_ST_FS_BoP,11692,1.00,0.89,0.72,0.55,0.79,
single_target,AP_Butc_BS_TotS_WI,15870,1.00,0.88,0.69,0.57,0.79,
single_target,ViV_Butc_AMoC_TotS_WI,14296,1.00,0.98,0.70,0.70,0.81,
single_target,ViV_GT_AMoC_FS_BoP,11954,1.00,0.80,0.73,0.67,0.80,
single_target,ToE_HB_BS_MB_BoP,14469,1.00,0.84,0.72,0.58,0.80,
single_target,ViV_GT_BS_MB_BoP,12545,1.00,0.84,0.72,0.64,0.78,
single_target,AP_Butc_AMoC_FS_WI,14697,1.00,0.90,0.69,0.63,0.80,
single_target,ToE_Butc_AMoC_FS_Chak,14430,1.00,0.76,0.69,0.69,0.81,
single_target,ViV_HB_BS_FS_WI,15828,1.00,0.83,0.67,0.62,0.80,
single_target,AP_HB_BS_MB_BoP,14671,1.00,0.87,0.71,0.55,0.78,
single_target,ToE_Butc_ST_MB_BoP,13091,1.00,0.88,0.72,0.61,0.81,
single_target,ViV_HB_ST_MB_BoP,14589,1.00,0.78,0.69,0.72,0.81,
single_target,ViV_HB_AMoC_MB_WI,14522,1.00,0.79,0.69,0.76,0.81,
single_target,ToE_Butc_AMoC_TotS_Chak,13262,1.00,0.73,0.68,0.71,0.81,
single_target,ToE_GT_ST_MB_Chak,11452,1.00,0.79,0.73,0.63,0.80,
single_target,ViV_Butc_AMoC_FS_BoP,14299,1.00,0.83,0.68,0.68,0.80,
single_target,AP_Butc_BS_MB_WI,15210,1.00,0.94,0.72,0.52,0.79,
single_target,AP_GT_AMoC_MB_BoP,11808,1.00,0.79,0.72,0.65,0.79,
single_target,ViV_Butc_BS_FS_WI,15930,1.00,0.86,0.69,0.57,0.80,
single_target,AP_Butc_AMoC_MB_WI,13914,1.00,0.98,0.73,0.61,0.80,
single_target,ToE_HB_AMoC_MB_Chak,13020,1.00,0.75,0.73,0.71,0.81,
single_target,ToE_HB_ST_MB_WI,13211,1.00,0.68,0.71,0.63,0.80,
single_target,ViV_HB_BS_MB_Chak,15681,1.00,0.80,0.70,0.69,0.81,
single_target,ToE_HB_BS_TotS_BoP,15069,1.00,0.83,0.67,0.62,0.79,
single_target,AP_GT_ST_MB_BoP,11812,1.00,0.95,0.72,0.59,0.79,
single_target,ViV_Butc_ST_FS_Chak,14459,1.00,0.81,0.69,0.66,0.81,
single_target,ToE_GT_BS_TotS_Chak,11841,1.00,0.77,0.72,0.61,0.80,
single_target,AP_HB_BS_FS_WI,15261,1.00,0.82,0.67,0.55,0.79,
single_target,ToE_Butc_AMoC_TotS_WI,14190,1.00,0.92,0.69,0.68,0.81,
single_target,AP_GT_AMoC_TotS_BoP,11757,1.00,0.97,0.72,0.65,0.79,
single_target,ToE_HB_AMoC_FS_Chak,14030,1.00,0.69,0.67,0.72,0.80,
single_target,ToE_HB_AMoC_FS_WI,13769,1.00,0.71,0.66,0.68,0.80,
single_target,AP_Butc_ST_MB_Chak,13304,1.00,0.85,0.72,0.61,0.80,
single_target,ToE_GT_AMoC_MB_WI,11695,1.00,0.80,0.72,0.68,0.80,
single_target,ViV_Butc_BS_FS_BoP,15572,1.00,0.82,0.69,0.59,0.80,
single_target,ViV_Butc_ST_MB_WI,13996,1.00,1.01,0.71,0.63,0.80,
single_target,AP_GT_ST_TotS_BoP,11755,1.00,0.91,0.72,0.59,0.79,
single_target,AP_HB_AMoC_TotS_WI,14197,1.00,0.76,0.66,0.68,0.80,
single_target,ViV_Butc_AMoC_TotS_BoP,12880,1.00,0.80,0.67,0.69,0.81,
single_target,ToE_HB_ST_TotS_Chak,13949,1.00,0.68,0.67,0.70,0.81,
single_target,ViV_HB_BS_FS_BoP,15983,1.00,0.83,0.67,0.65,0.80,
single_target,AP_Butc_AMoC_TotS_Chak,13232,1.00,0.77,0.68,0.68,0.81,
single_target,ViV_GT_BS_TotS_WI,12253,1.00,0.82,0.72,0.63,0.79,
single_target,AP_HB_AMoC_FS_WI,14030,1.00,0.78,0.66,0.65,0.80,
single_target,ToE_HB_AMoC_TotS_Chak,13922,1.00,0.72,0.67,0.75,0.81,
single_target,ToE_GT_ST_FS_Chak,11517,1.00,0.78,0.72,0.59,0.80,
single_target,ToE_HB_AMoC_MB_WI,13184,1.00,0.77,0.71,0.69,0.81,
single_target,ToE_Butc_BS_MB_WI,14980,1.00,0.88,0.72,0.54,0.79,
single_target,AP_HB_AMoC_TotS_Chak,14251,1.00,0.72,0.68,0.73,0.81,
single_target,ToE_GT_ST_TotS_WI,11535,1.00,0.80,0.72,0.63,0.81,
single_target,ViV_HB_ST_MB_Chak,14525,1.00,0.70,0.70,0.74,0.80,
single_target,AP_Butc_BS_FS_WI,15958,1.00,0.83,0.69,0.53,0.79,
single_target,AP_Butc_ST_MB_WI,13795,1.00,1.02,0.72,0.56,0.80,
single_target,AP_HB_ST_MB_Chak,13300,1.00,0.73,0.72,0.63,0.80,
single_target,AP_GT_BS_FS_Chak,12098,1.00,0.74,0.72,0.55,0.79,
